location,longitude,latitude
l001,-99.153728,19.470496
l002,-99.154708,19.471307
l003,-99.155203,19.469199
l004,-99.156681,19.469244
l005,-99.156320,19.468724
l006,-99.159242,19.469038
l007,-99.159268,19.465743
l008,-99.159405,19.465728
l009,-99.159394,19.465422
l010,-99.159815,19.465245
l011,-99.160185,19.465174
l012,-99.159871,19.465159
l013,-99.160177,19.465083
l014,-99.161306,19.464962
l015,-99.162481,19.464064
l016,-99.163763,19.462794
l017,-99.164963,19.460046
l018,-99.166150,19.457426
l019,-99.167008,19.457011
l020,-99.168102,19.457173
l021,-99.170216,19.460714
l022,-99.170398,19.461078
l023,-99.169282,19.470364
l024,-99.164325,19.471962
